#OTU ID	S1.1st	S1.2nd	S1.3rd	S2.1st	S2.2nd	S2.3rd	S3.1st	S3.2nd	S3.3rd	E1.1st	E1.2nd	E1.3rd	E2.1st	E2.2nd	E2.3rd	E3.1st	E3.2nd	E3.3rd	E4.1st	E4.2nd	E4.3rd	E5.1st	E5.2nd	E5.3rd	taxonomy
OTU_1351	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas
OTU_801	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus
OTU_2534	3	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Paenibacillales,f:Paenibacillaceae,g:Paenibacillus,s:Paenibacillus_sp._FSL_R5-0345
OTU_690	1	5	1	1	1	0	0	1	2	2	1	2	1	3	1	4	1	2	0	1	0	3	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:Lactobacillus_plantarum
OTU_1050	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Paenibacillales,f:Paenibacillaceae,g:Paenibacillus
OTU_572	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Planococcaceae,g:Psychrobacillus,s:Psychrobacillus_psychrodurans
OTU_2531	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
OTU_2027	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus,s:Enterococcus_casseliflavus
OTU_360	2	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Enterobacteriaceae,g:Escherichia-Shigella
OTU_94	3	1	0	0	1	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	0	1	0	0	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae,g:Clostridium_sensu_stricto_1
